,Name,Album,Artist
0,Blood Water,Blood Water,grandson
1,Enemy,Arcane,Imagine Dragons
2,Believer,Evolve,Imagine Dragons
3,Warriors,Warriors,Imagine Dragons
4,Numb,Meteora,Linkin Park
5,Faint,Meteora,Linkin Park
6,Given Up,Minutes To Midnight,Linkin Park
7,One Step Closer,Hybrid Theory,Linkin Park
8,Chop Suey,Toxicity,System Of A Down
9,Toxicity,Toxicity,System Of A Down
10,Monster,Skillet,Skillet
11,Hero,Awake,Skillet
12,Animal I Have Become,One X,Three Days Grace
13,Pain,One X,Three Days Grace
14,I Hate Everything About You,Three Days Grace,Three Days Grace
15,Stronger,Graduation,Kanye West
16,Power,My Beautiful Dark Twisted Fantasy,Kanye West
17,Gods Menu,Go Live,Stray Kids
18,Thunderous,Noeasy,Stray Kids
19,Maniac,Oddinary,Stray Kids
20,Mic Drop,Love Yourself Her,BTS
21,Ugh,Map Of The Soul 7,BTS
22,Daechwita,D2,Agust D
23,Kill This Love,Kill This Love,Blackpink
24,How You Like That,The Album,Blackpink
25,Boombayah,Square One,Blackpink
26,Very Good,Very Good,Block B
27,Bang Bang Bang,Made,Bigbang
28,Obsession,Obsession,Exo
29,Fire,The Most Beautiful Moment In Life Pt2,BTS
30,Kar Har Maidaan Fateh,Sanju,Sukhwinder Singh
31,Sultan,Sultan,Sukhwinder Singh
32,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,Siddharth Mahadevan
33,Brothers Anthem,Brothers,Vishal Dadlani
34,Aarambh Hai Prachand,Gulaal,Piyush Mishra
35,Sher Aaya Sher,Gully Boy,Divine
36,Malhari,Bajirao Mastani,Vishal Dadlani
37,Khalibali,Padmaavat,Shivam Pathak
38,Sadda Haq,Rockstar,Mohit Chauhan
39,Bolo Har Har Har,Shivaay,Mithoon
40,Singham Title Track,Singham,Sukhwinder Singh
41,The Beginning,The Beginning,One Ok Rock
42,Deeper Deeper,Deeper Deeper,One Ok Rock
43,Clock Strikes,Jinsei Boku,One Ok Rock
44,Core Pride,Core Pride,Uverworld
45,Touch Off,Touch Off,Uverworld
46,Kaikai Kitan,Kaikai Kitan,Eve
47,Unravel,Single,TK From Ling Tosite Sigure
48,Inferno,Inferno,Mrs Green Apple
49,Fake Love,Love Yourself Tear,BTS
50,Not Today,You Never Walk Alone,BTS
51,Side Effects,Cle 2 Yellow Wood,Stray Kids
52,Hellevator,Hellevator,Stray Kids
53,Monster,Exact,Exo
54,Crazy,Crazy,4Minute
55,Holup,Holup,Bobby
56,Full House,Love And Fall,Bobby
57,Antifragile,Antifragile,Le Sserafim
58,Drunk Dazed,Border Carnival,Enhypen
59,Frost,The Chaos Chapter Freeze,Tomorrow X Together
60,Loser Lover,The Chaos Chapter Fight Or Escape,Tomorrow X Together
61,Very Good Remix,Very Good Remix,Block B
62,Firestarter,Firestarter,The Prodigy
63,Smells Like Teen Spirit,Nevermind,Nirvana
64,Break Stuff,Significant Other,Limp Bizkit
65,Bodies,Devil Without A Cause,Drowning Pool
66,Last Resort,Infest,Papa Roach
