,Name,Album,Artist
0,Bury A Friend,When We All Fall Asleep Where Do We Go,Billie Eilish
1,Everything I Wanted,Everything I Wanted,Billie Eilish
2,You Should See Me In A Crown,When We All Fall Asleep Where Do We Go,Billie Eilish
3,Control,Control,Halsey
4,Gasoline,Badlands,Halsey
5,Nightmare,Manic,Halsey
6,Heathens,Suicide Squad,Twenty One Pilots
7,Stressed Out,Blurryface,Twenty One Pilots
8,Ride,Blurryface,Twenty One Pilots
9,Demons,Night Visions,Imagine Dragons
10,Radioactive,Night Visions,Imagine Dragons
11,Monster,Smoke and Mirrors,Imagine Dragons
12,My Demons,Nightcore,Starset
13,Dark On Me,Transmissions,Starset
14,Carnivore,Transmissions,Starset
15,Animal I Have Become,One X,Three Days Grace
16,Pain,One X,Three Days Grace
17,I Hate Everything About You,Three Days Grace,Three Days Grace
18,Numb,Meteora,Linkin Park
19,Crawling,Hybrid Theory,Linkin Park
20,Somewhere I Belong,Meteora,Linkin Park
21,Bring Me To Life,Fallen,Evanescence
22,Going Under,Fallen,Evanescence
23,Call Me When You Are Sober,The Open Door,Evanescence
24,Human,Ragged Insomnia,Rag N Bone Man
25,Run,Bury A Friend Remix,Au Ra
26,Concrete Angel,Concrete Angel,Martina McBride
27,Control,Unknown,Unknown Artist
28,Bad Guy,When We All Fall Asleep Where Do We Go,Billie Eilish
29,Lovely,Single,Billie Eilish
30,Hostage,Dont Smile At Me,Billie Eilish
31,Copycat,Dont Smile At Me,Billie Eilish
32,The Hills,Beauty Behind The Madness,The Weeknd
33,Call Out My Name,My Dear Melancholy,The Weeknd
34,After Dark,After Hours,The Weeknd
35,Devil Eyes,Devil Eyes,Hippie Sabotage
36,Lucid Dreams,Goodbye and Good Riddance,Juice Wrld
37,All Girls Are The Same,Goodbye and Good Riddance,Juice Wrld
38,Legends,Goodbye and Good Riddance,Juice Wrld
39,Fear Of The Dark,Fear Of The Dark,Iron Maiden
40,Enter Sandman,Metallica,Metallica
41,The Unforgiven,Metallica,Metallica
42,Black Hole Sun,Superunknown,Soundgarden
43,Creep,Pablo Honey,Radiohead
44,Paranoid Android,Ok Computer,Radiohead
45,No Surprises,Ok Computer,Radiohead
46,Silhouette,Silhouette,Kana Boon
47,Unravel,Single,TK from Ling tosite sigure
48,Kaikai Kitan,Kaikai Kitan,Eve
49,Inferno,Inferno,Mrs Green Apple
50,The Beginning,The Beginning,One Ok Rock
51,Clock Strikes,Jinsei Boku,One Ok Rock
52,Deeper Deeper,Deeper Deeper,One Ok Rock
53,Core Pride,Core Pride,Uverworld
54,Touch Off,Touch Off,Uverworld
55,Devote Your Heart,Attack on Titan OST,Linked Horizon
56,Red Swan,Attack on Titan OST,Yoshiki
57,Again,Again,Yui
58,Crossing Field,Single,Lisa
59,Gurenge,Gurenge,Lisa
60,Fake Love,Love Yourself Tear,BTS
61,Black Swan,Map of the Soul 7,BTS
62,Lie,Wings,BTS
63,Monster,Exact,Exo
64,Obsession,Obsession,Exo
65,Peek A Boo,Perfect Velvet,Red Velvet
66,Psycho,The ReVe Festival Finale,Red Velvet
67,Drunk Dazed,Border Carnival,Enhypen
68,Fever,Border Carnival,Enhypen
69,Kar Har Maidaan Fateh,Sanju,Sukhwinder Singh
70,Aarambh Hai Prachand,Gulaal,Piyush Mishra
71,Sadda Haq,Rockstar,Mohit Chauhan
72,Nadaan Parindey,Rockstar,Mohit Chauhan
73,Bhoot Hoon Main,Bhoot Hoon Main,Sunidhi Chauhan
74,Aami Je Tomar,Bhool Bhulaiyaa,Shreya Ghoshal
75,Khamoshiyan,Khamoshiyan,Arijit Singh
