,Name,Album,Artist
0,Happy,Despicable Me 2,Pharrell Williams
1,Can't Stop The Feeling,Trolls,Justin Timberlake
2,Good Time,The Midsummer Station,Owl City
3,Best Day Of My Life,Oh What A Life,American Authors
4,On Top Of The World,Night Visions,Imagine Dragons
5,Walking On Sunshine,Walking On Sunshine,Katrina And The Waves
6,I Gotta Feeling,The E N D,Black Eyed Peas
7,Uptown Funk,Uptown Special,Mark Ronson
8,Shake It Off,1989,Taylor Swift
9,Love On Top,4,Beyonce
10,Firework,Teenage Dream,Katy Perry
11,Roar,Prism,Katy Perry
12,Count On Me,Doo Wops And Hooligans,Bruno Mars
13,Marry You,Doo Wops And Hooligans,Bruno Mars
14,Sugar,V,Maroon 5
15,Sunday Morning,Songs About Jane,Maroon 5
16,Good As Hell,Cuz I Love You,Lizzo
17,Juice,Cuz I Love You,Lizzo
18,Levitating,Future Nostalgia,Dua Lipa
19,Don't Start Now,Future Nostalgia,Dua Lipa
20,Blinding Lights,After Hours,The Weeknd
21,Adventure Of A Lifetime,A Head Full Of Dreams,Coldplay
22,Viva La Vida,Viva La Vida,Coldplay
23,A Sky Full Of Stars,Ghost Stories,Coldplay
24,Paradise,Mylo Xyloto,Coldplay
25,I'm Yours,We Sing We Dance We Steal Things,Jason Mraz
26,Lucky,We Sing We Dance We Steal Things,Jason Mraz
27,Riptide,Dream Your Life Away,Vance Joy
28,Budapest,Wanted On Voyage,George Ezra
29,Shotgun,Staying At Tamara's,George Ezra
30,Señorita,Señorita,Shawn Mendes
31,Treat You Better,Illuminate,Shawn Mendes
32,What Makes You Beautiful,Up All Night,One Direction
33,Story Of My Life,Midnight Memories,One Direction
34,Drag Me Down,Made In The A M,One Direction
35,Perfect,Made In The A M,One Direction
36,Closer,Collage,The Chainsmokers
37,Something Just Like This,Memories Do Not Open,The Chainsmokers
38,Paris,Memories Do Not Open,The Chainsmokers
39,Happier,World War Joy,Marshmello
40,Alone,Alone,Marshmello
41,Faded,Different World,Alan Walker
42,Spectre,Spectre,Alan Walker
43,Ignite,Different World,Alan Walker
44,Stay,Stay,Zedd
45,The Middle,The Middle,Zedd
46,Beautiful Now,True Colors,Zedd
47,Dynamite,Dynamite,BTS
48,Butter,Butter,BTS
49,Boy With Luv,Map Of The Soul Persona,BTS
50,Permission To Dance,Butter,BTS
51,Life Goes On,Be,BTS
52,As If Its Your Last,As If Its Your Last,Blackpink
53,Ice Cream,The Album,Blackpink
54,Lovesick Girls,The Album,Blackpink
55,Pretty Savage,The Album,Blackpink
56,Blue Orangeade,The Dream Chapter Star,Tomorrow X Together
57,Crown,The Dream Chapter Star,Tomorrow X Together
58,Magic,The Chaos Chapter Freeze,Tomorrow X Together
59,Polaroid Love,Dimension Answer,Enhypen
60,Tamed Dashed,Dimension Dilemma,Enhypen
61,Very Nice,Love Letter,Seventeen
62,Left And Right,Henggarae,Seventeen
63,Love Scenario,Return,Ikon
64,Really Really,Fate Number For,Winner
65,Cheer Up,Page Two,Twice
66,TT,Page Two,Twice
67,Likey,Twicetagram,Twice
68,Signal,Signal,Twice
69,Kar Har Maidaan Fateh,Sanju,Sukhwinder Singh
70,Gallan Goodiyan,Dil Dhadakne Do,Farhan Akhtar
71,Nashe Si Chadh Gayi,Befikre,Arijit Singh
72,Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
73,Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal
74,Subah Hone Na De,Desi Boyz,Mika Singh
75,Sooraj Dooba Hai,Roy,Arijit Singh
76,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah
77,London Thumakda,Queen,Labh Janjua
78,Navrai Majhi,English Vinglish,Sunidhi Chauhan
79,Senorita,Zindagi Na Milegi Dobara,Farhan Akhtar
80,Dil Chahta Hai,Dil Chahta Hai,Shankar Mahadevan
81,Koi Kahe Kehta Rahe,Dil Chahta Hai,Shankar Mahadevan
82,Give Me Some Sunshine,3 Idiots,Suraj Jagan
83,All Is Well,3 Idiots,Sonu Nigam
84,Zoobi Doobi,3 Idiots,Sonu Nigam
85,Love You Zindagi,Dear Zindagi,Jasleen Royal
86,Nachde Ne Saare,Baar Baar Dekho,Harshdeep Kaur
87,High Heels,Ki And Ka,Meet Bros
88,Kar Gayi Chull,Kapoor And Sons,Badshah
89,Saturday Saturday,Humpty Sharma Ki Dulhania,Indeep Bakshi
90,Proper Patola,Proper Patola,Diljit Dosanjh
91,Morni Banke,Badhaai Ho,Guru Randhawa
92,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Jasmin Walia
93,Coca Cola,Luka Chuppi,Neha Kakkar
