,Name,Album,Artist
0,Someone Like You,21,Adele
1,Easy On Me,30,Adele
2,All I Want,Kodaline,Kodaline
3,Fix You,X And Y,Coldplay
4,The Scientist,A Rush Of Blood To The Head,Coldplay
5,Let Her Go,All The Little Lights,Passenger
6,Photograph,X,Ed Sheeran
7,Supermarket Flowers,Divide,Ed Sheeran
8,Happier,Divide,Ed Sheeran
9,Stay With Me,In The Lonely Hour,Sam Smith
10,Too Good At Goodbyes,The Thrill Of It All,Sam Smith
11,Shallow,A Star Is Born,Lady Gaga
12,All Of Me,Love In The Future,John Legend
13,Let Me Down Slowly,Narrated For You,Alec Benjamin
14,If The World Was Ending,Single,JP Saxe
15,Memories,Memories,Maroon 5
16,Someone You Loved,Divinely Uninspired,Lewis Capaldi
17,Bruises,Divinely Uninspired,Lewis Capaldi
18,Before You Go,Divinely Uninspired,Lewis Capaldi
19,Drivers License,Sour,Olivia Rodrigo
20,Traitor,Sour,Olivia Rodrigo
21,Happier,Sour,Olivia Rodrigo
22,When The Party Is Over,When We All Fall Asleep,Billie Eilish
23,Everything I Wanted,Everything I Wanted,Billie Eilish
24,Lovely,Single,Billie Eilish
25,Ocean Eyes,Dont Smile At Me,Billie Eilish
26,Let Me Go,Let Me Go,Hailee Steinfeld
27,Arcade,Arcade,Duncan Laurence
28,Unravel,Single,TK From Ling Tosite Sigure
29,Blue And Grey,Be,BTS
30,Spring Day,You Never Walk Alone,BTS
31,Fake Love,Love Yourself Tear,BTS
32,Stay Alive,Single,Jungkook
33,Through The Night,Palette,IU
34,Eight,Single,IU
35,Love Scenario,Return,Ikon
36,Polaroid Love,Dimension Answer,Enhypen
37,Kar Har Maidaan Fateh,Sanju,Sukhwinder Singh
38,Tum Hi Ho,Aashiqui 2,Arijit Singh
39,Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
40,Agar Tum Saath Ho,Tamasha,Alka Yagnik
41,Khairiyat,Chhichhore,Arijit Singh
42,Shayad,Love Aaj Kal,Arijit Singh
43,Raabta,Agent Vinod,Arijit Singh
44,Phir Le Aya Dil,Barfi,Arijit Singh
45,Hawayein,Jab Harry Met Sejal,Arijit Singh
46,Samjhawan,Humpty Sharma Ki Dulhania,Arijit Singh
47,Raataan Lambiyan,Shershaah,Jubin Nautiyal
48,Apna Bana Le,Bhediya,Arijit Singh
49,Kesariya,Brahmastra,Arijit Singh
50,Nadaan Parindey,Rockstar,Mohit Chauhan
51,Kun Faya Kun,Rockstar,A R Rahman
52,Luka Chuppi,Rang De Basanti,Lata Mangeshkar
53,Khamoshiyan,Khamoshiyan,Arijit Singh
54,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Arijit Singh
55,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva
