,Name,Album,Artist
0,Uptown Funk,Uptown Special,Mark Ronson
1,Can't Stop The Feeling,Trolls,Justin Timberlake
2,Happy,Despicable Me 2,Pharrell Williams
3,Shake It Off,1989,Taylor Swift
4,Levitating,Future Nostalgia,Dua Lipa
5,Don't Start Now,Future Nostalgia,Dua Lipa
6,Blinding Lights,After Hours,The Weeknd
7,Adventure Of A Lifetime,A Head Full Of Dreams,Coldplay
8,Viva La Vida,Viva La Vida,Coldplay
9,A Sky Full Of Stars,Ghost Stories,Coldplay
10,On Top Of The World,Night Visions,Imagine Dragons
11,Good Time,The Midsummer Station,Owl City
12,Best Day Of My Life,Oh What A Life,American Authors
13,I Gotta Feeling,The E N D,Black Eyed Peas
14,Sugar,V,Maroon 5
15,Sunday Morning,Songs About Jane,Maroon 5
16,Firework,Teenage Dream,Katy Perry
17,Roar,Prism,Katy Perry
18,Count On Me,Doo Wops And Hooligans,Bruno Mars
19,Marry You,Doo Wops And Hooligans,Bruno Mars
20,Dynamite,Dynamite,BTS
21,Butter,Butter,BTS
22,Permission To Dance,Butter,BTS
23,Boy With Luv,Map Of The Soul Persona,BTS
24,As If Its Your Last,As If Its Your Last,Blackpink
25,Ice Cream,The Album,Blackpink
26,Lovesick Girls,The Album,Blackpink
27,Pretty Savage,The Album,Blackpink
28,Blue Orangeade,The Dream Chapter Star,Tomorrow X Together
29,Crown,The Dream Chapter Star,Tomorrow X Together
30,Magic,The Chaos Chapter Freeze,Tomorrow X Together
31,Very Nice,Love Letter,Seventeen
32,Left And Right,Henggarae,Seventeen
33,Cheer Up,Page Two,Twice
34,Likey,Twicetagram,Twice
35,Signal,Signal,Twice
36,Really Really,Fate Number For,Winner
37,Kar Har Maidaan Fateh,Sanju,Sukhwinder Singh
38,Gallan Goodiyan,Dil Dhadakne Do,Farhan Akhtar
39,Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal
40,Subah Hone Na De,Desi Boyz,Mika Singh
41,Sooraj Dooba Hai,Roy,Arijit Singh
42,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah
43,London Thumakda,Queen,Labh Janjua
44,Navrai Majhi,English Vinglish,Sunidhi Chauhan
45,Senorita,Zindagi Na Milegi Dobara,Farhan Akhtar
46,Dil Chahta Hai,Dil Chahta Hai,Shankar Mahadevan
47,Koi Kahe Kehta Rahe,Dil Chahta Hai,Shankar Mahadevan
48,All Is Well,3 Idiots,Sonu Nigam
49,Zoobi Doobi,3 Idiots,Sonu Nigam
50,Love You Zindagi,Dear Zindagi,Jasleen Royal
51,Nachde Ne Saare,Baar Baar Dekho,Harshdeep Kaur
52,Kar Gayi Chull,Kapoor And Sons,Badshah
53,Saturday Saturday,Humpty Sharma Ki Dulhania,Indeep Bakshi
54,Proper Patola,Proper Patola,Diljit Dosanjh
55,Morni Banke,Badhaai Ho,Guru Randhawa
56,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Jasmin Walia
57,Coca Cola,Luka Chuppi,Neha Kakkar
58,The Nights,The Days Nights,Avicii
59,Wake Me Up,True,Avicii
60,Levels,Levels,Avicii
61,Animals,Animals,Martin Garrix
62,Tremor,Tremor,Dimitri Vegas
63,Tsunami,Tsunami,DVBBS
64,Turn Down For What,Blame,DJ Snake
65,Party Rock Anthem,Sorry For Party Rocking,LMFAO
66,Yeah,Confessions,Usher
67,Timber,Global Warming,Pitbull
68,Give Me Everything,Planet Pit,Pitbull
69,Hey Mama,Listen,David Guetta
70,Titanium,Nothing But The Beat,David Guetta
71,Play Hard,Nothing But The Beat,David Guetta
72,Lean On,Peace Is The Mission,Major Lazer
73,Light It Up,Peace Is The Mission,Major Lazer
74,Cold Water,Cold Water,Major Lazer
